condition,severity,method,IoU_mean,IoU_std,F1_mean,F1_std,inference_ms
fog,0.0,classical,0.1077,0.0765,0.192,0.1174,2.48
fog,0.0,twinlite,0.3813,0.1165,0.5443,0.1199,10.57
fog,0.015,classical,0.1124,0.0742,0.2035,0.1122,1.6
fog,0.015,twinlite,0.1181,0.1149,0.218,0.1635,8.83
fog,0.03,classical,0.1028,0.0755,0.1937,0.1137,1.39
fog,0.03,twinlite,0.0396,0.044,0.1121,0.0713,8.77
fog,0.045,classical,0.0891,0.0708,0.1774,0.1087,1.31
fog,0.045,twinlite,0.0209,0.0267,0.067,0.0482,8.71
fog,0.06,classical,0.0824,0.0672,0.171,0.102,1.27
fog,0.06,twinlite,0.0129,0.0184,0.0456,0.0359,8.59
fog,0.08,classical,0.0694,0.0661,0.1474,0.1039,1.33
fog,0.08,twinlite,0.0069,0.0119,0.0285,0.0263,8.48
fog,0.1,classical,0.0573,0.0629,0.1399,0.102,1.25
fog,0.1,twinlite,0.0038,0.0077,0.0219,0.0185,8.59
illumination,1.0,classical,0.1077,0.0765,0.192,0.1174,2.49
illumination,1.0,twinlite,0.3813,0.1165,0.5443,0.1199,9.08
illumination,0.75,classical,0.1166,0.0745,0.2084,0.1113,1.97
illumination,0.75,twinlite,0.3818,0.1199,0.5443,0.1232,8.94
illumination,0.6,classical,0.1154,0.0793,0.2098,0.1164,1.69
illumination,0.6,twinlite,0.3826,0.1222,0.5447,0.1254,9.09
illumination,0.5,classical,0.1086,0.0784,0.1992,0.1181,1.59
illumination,0.5,twinlite,0.3818,0.1245,0.5434,0.1283,9.06
illumination,0.4,classical,0.0929,0.0803,0.1969,0.1167,1.47
illumination,0.4,twinlite,0.3793,0.1272,0.5402,0.1319,8.82
illumination,0.3,classical,0.0638,0.0788,0.2024,0.1123,1.33
illumination,0.3,twinlite,0.3726,0.131,0.5321,0.1371,9.21
illumination,0.2,classical,0.0125,0.0361,0.1497,0.0895,1.17
illumination,0.2,twinlite,0.3532,0.1368,0.5095,0.1473,8.92
